epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2864,0.7794,2.42483,0.92332,0.02722,0.87234,0.84137,0.59569,0.77046,2.60651,0.85241,0.00032,0.00032,0.00032
2,67.0325,0.8477,1.06883,0.92423,1,0.4188,0.81939,0.64264,0.75316,2.49942,0.88028,0.00064911,0.00064911,0.00064911
3,101.268,0.90172,1.03319,0.99731,1,0.50614,0.91689,0.72006,0.84567,2.25184,0.92384,0.000967,0.000967,0.000967
4,141.447,0.80357,0.90303,0.94187,1,0.86742,0.97374,0.79151,0.72651,1.68688,0.888,0.00127367,0.00127367,0.00127367
5,180.715,0.76015,0.85847,0.91197,1,0.90146,0.97354,0.78654,0.74845,1.39013,0.89561,0.00156912,0.00156912,0.00156912
6,226.496,0.84476,0.91515,0.95451,1,0.88459,0.97239,0.76641,0.74699,1.53801,0.922,0.001835,0.001835,0.001835
7,265.831,0.8397,0.93639,0.94243,0.97734,0.91774,0.98834,0.79526,0.74487,0.98994,0.92665,0.001802,0.001802,0.001802
8,302.043,0.83926,0.84342,0.93967,0.97711,0.93617,0.98073,0.78766,0.75317,0.8836,0.93123,0.001769,0.001769,0.001769
9,343.886,0.80781,0.79425,0.93842,0.9573,0.95397,0.98436,0.79343,0.68943,0.80412,0.91595,0.001736,0.001736,0.001736
10,383.075,0.77561,0.7946,0.93351,0.99271,0.91489,0.98866,0.8285,0.63323,0.78297,0.90645,0.001703,0.001703,0.001703
11,432.063,0.7689,0.76554,0.92636,0.97592,0.97872,0.99252,0.80089,0.67039,0.77227,0.90646,0.00167,0.00167,0.00167
12,475.505,0.72268,0.74797,0.90518,0.99717,0.97872,0.99458,0.82707,0.63133,0.69081,0.89335,0.001637,0.001637,0.001637
13,509.144,0.72707,0.69737,0.91288,0.93931,0.98805,0.99213,0.84189,0.57088,0.65135,0.88393,0.001604,0.001604,0.001604
14,542.681,0.715,0.70587,0.91481,0.97585,0.97872,0.9913,0.85267,0.5745,0.65845,0.88067,0.001571,0.001571,0.001571
15,588.606,0.68675,0.69402,0.90247,0.97911,0.99724,0.99458,0.85228,0.58766,0.61154,0.88404,0.001538,0.001538,0.001538
16,628.571,0.67336,0.65734,0.89045,1,0.99845,0.995,0.84146,0.60491,0.59524,0.88698,0.001505,0.001505,0.001505
17,666.186,0.66184,0.64342,0.89932,0.99594,0.97872,0.99418,0.84894,0.58531,0.57325,0.88782,0.001472,0.001472,0.001472
18,706.723,0.68804,0.62057,0.89827,0.99701,0.97872,0.99209,0.84116,0.59015,0.56373,0.88489,0.001439,0.001439,0.001439
19,757.65,0.68706,0.62855,0.92122,0.99516,0.97872,0.99067,0.83943,0.57446,0.57473,0.8761,0.001406,0.001406,0.001406
20,816.068,0.65567,0.58806,0.88509,0.99647,0.97872,0.98903,0.86296,0.56429,0.56969,0.87759,0.001373,0.001373,0.001373
21,858.614,0.64145,0.58535,0.90817,0.9787,0.97774,0.98996,0.87305,0.54972,0.59186,0.87484,0.00134,0.00134,0.00134
22,897.736,0.66708,0.60549,0.90911,0.99037,0.95745,0.99126,0.89095,0.50974,0.55782,0.86716,0.001307,0.001307,0.001307
23,941.225,0.61653,0.59301,0.88828,0.99709,0.97872,0.99179,0.86469,0.52523,0.59171,0.87248,0.001274,0.001274,0.001274
24,981.012,0.6346,0.59335,0.89722,0.99632,0.97872,0.9938,0.88969,0.51125,0.5543,0.86712,0.001241,0.001241,0.001241
25,1019.69,0.60447,0.56619,0.8791,0.99719,0.97872,0.9938,0.89711,0.48435,0.54,0.86096,0.001208,0.001208,0.001208
26,1063.84,0.63465,0.5608,0.88339,0.99754,0.97872,0.99458,0.86254,0.55337,0.53561,0.86568,0.001175,0.001175,0.001175
27,1106.13,0.62338,0.5496,0.89518,1,0.9999,0.995,0.86846,0.51163,0.49822,0.86403,0.001142,0.001142,0.001142
28,1145.69,0.66259,0.55956,0.91106,0.97471,1,0.99417,0.85601,0.53925,0.49569,0.87075,0.001109,0.001109,0.001109
29,1186.15,0.64749,0.55154,0.905,0.97889,1,0.99458,0.87314,0.51362,0.48201,0.8627,0.001076,0.001076,0.001076
30,1223.78,0.62901,0.54753,0.89371,0.97912,0.99794,0.99458,0.88367,0.46777,0.47066,0.86314,0.001043,0.001043,0.001043
31,1261.27,0.57406,0.51161,0.88305,0.97912,0.99754,0.99417,0.86654,0.47642,0.46657,0.86979,0.00101,0.00101,0.00101
32,1302.2,0.57452,0.51031,0.87101,0.97846,1,0.99458,0.89496,0.47054,0.45916,0.86533,0.000977,0.000977,0.000977
33,1337.49,0.58806,0.51323,0.88238,0.97914,0.99876,0.99375,0.89059,0.47933,0.46192,0.86481,0.000944,0.000944,0.000944
34,1373.87,0.61441,0.51758,0.8966,0.97873,1,0.99417,0.8856,0.48836,0.45784,0.86184,0.000911,0.000911,0.000911
